"label"	"tax"
"tax758"	"Sulfuritortus"
"tax759"	"Geobacillus"
"tax760"	"Pseudooceanicola"
"tax761"	"Pannonibacter"
"tax762"	"Thioflavicoccus"
"tax763"	"Nitrosocosmicus"
"tax764"	"Sulfurivermis"
"tax765"	"Thioalkalispiraceae"
"tax766"	"Pectobacterium"
"tax767"	"Pseudazoarcus"
"tax768"	"Salinibacter"
"tax769"	"Salinibacteraceae"
"tax770"	"Polaribacter"
"tax771"	"Catalimonadaceae"
"tax772"	"Tetrasphaera"
"tax773"	"Roseimaritima"
"tax774"	"Ideonella"
"tax775"	"Sutterellaceae"
"tax776"	"Faecalibacterium"
"tax777"	"Piscirickettsiaceae"
"tax778"	"Indioceanicola"
"tax779"	"Halomarina"
"tax780"	"Ophiocordycipitaceae"
"tax781"	"Sediminicoccus"
"tax782"	"Pseudobacter"
"tax783"	"Capsulimonadaceae"
"tax784"	"Capsulimonas"
"tax785"	"Prauserella"
"tax786"	"Sulfurimicrobium"
"tax787"	"Cyanobium"
"tax788"	"Marichromatium"
"tax789"	"Nisaea"
"tax790"	"Thalassobaculaceae"
"tax791"	"Methyloversatilis"
"tax792"	"Lichenicola"
"tax793"	"Hafniaceae"
"tax794"	"Flagellatimonas"
"tax795"	"Verminephrobacter"
"tax796"	"Chlorobaculum"
"tax797"	"Parvularculaceae"
"tax798"	"Miniimonas"
"tax799"	"Methyloligella"
"tax800"	"Algoriphagus"
"tax801"	"Aspergillaceae"
"tax802"	"Arsenicicoccus"
"tax803"	"Youhaiella"
"tax804"	"Acanthopleuribacteraceae"
"tax805"	"Sulfidibacter"
"tax806"	"Citrifermentans"
"tax807"	"Mycetocola"
"tax808"	"Crenobacter"
"tax809"	"Desulfomicrobiaceae"
"tax810"	"Luteipulveratus"
"tax811"	"Acidiferrobacter"
"tax812"	"Cohnella"
"tax813"	"Haloglomus"
"tax814"	"Marinobacterium"
"tax815"	"Castellaniella"
"tax816"	"Leptospira"
"tax817"	"Niveibacterium"
"tax818"	"Duganella"
"tax819"	"Oerskovia"
"tax820"	"Labrenzia"
"tax821"	"Stakelama"
"tax822"	"Thalassospira"
"tax823"	"Alcaligenes"
"tax824"	"Cronobacter"
"tax825"	"Photobacterium"
"tax826"	"Pseudocnuella"
"tax827"	"Symmachiella"
"tax828"	"Paradevosia"
"tax829"	"Tepidimonas"
"tax830"	"Kosakonia"
"tax831"	"Roseitalea"
"tax832"	"Homoserinibacter"
"tax833"	"Colletotrichum"
"tax834"	"Glomerellaceae"
"tax835"	"Oscillatoriaceae"
"tax836"	"Defluviicoccus"
